date,tweets,user,clean_text1
2017-05-06,"Thanx Semarang Lowrider . Keep loving keep fighting !

Shot by @ucok_olok .

#sid #punkrocklowrider #xrmblx #dickies #balitolakreklamasi",JRX_SID,semarang lowrider loving fighting shot
2017-03-24,"Harapan dapat mengalahkan rasa takut jika kita percaya ~ SBY

Shot : D .Ariadi

#xrmblx #newsboyhat #ecodefender #balitolakreklamasi #fcksby",JRX_SID,harapan mengalahkan takut percaya sby shot ariadi
2017-03-22,"Sama sekali tak merasa jadi pahlawan karena ikut aksi . Merasa jadi manusia yang tak mau dibodohi : iya

Pic : D .Ariadi 

#balitolakreklamasi",JRX_SID,pahlawan aksi manusia dibohongi ariadi
2017-01-23,"The big family of I Fought The Lau and The Lau Won

#lauadalahperlauanan #lau #tuak #balinesepalmwine #resistanceauntie #balitolakreklamasi",JRX_SID,family fought lau lau won
2017-01-23,"I Fought The Lau and The Lau Won !

Pesan kaos ini di @gunkjhonregular 

#lau #tuak #balinesepalmwine #localwisdom #balitolakreklamasi",JRX_SID,fought lau lau won pesan kaos
2018-03-13,"Gila ya pakde @jokowi sampai -sampai PM Canada @JustinTrudeau niru semua yg beliau lakukan ! 

#mantapsoul #balitolakreklamasi",JRX_SID,gila pakde pm canada niru beliau lakukan
2018-02-24,"Welcome to our Bong Hostel !

#bonghostel #softopeningoarty #rocknroll #nusalembongan #island #balitolakreklamasi",JRX_SID,bong hostel
2018-02-23,"Sesi clean up pertama usai sudah . Berhasil kumpulkan berkarung -karung sampah plastik . Sesi clean up kedua mulai jam 5 sore nanti . See you 
#nusalembongan #oneislandonevoice #satupulausatusuara #haripedulisampah #nopolitics #nodrama #justlove #balitolakreklamasi",JRX_SID,sesi clean berhasil kumpulkan berkarung karung sampah plastik sesi clean jam sore
2018-01-17,"Mulai minggu depan @plagawine sudah bisa disikat di @Twice_Bali -- sikat sampai habis karena kebersihan bagian dari Iman . Mantan istri mendiang David Bowie .

#twicebar #rocknrollbar #kutarockcity #plagawine #balitolakreklamasi",JRX_SID,minggu disikat sikat habis kebersihan iman mantan istri mendiang david bowie
2018-01-17,voice_ofglory blasting rebel anthem #balitolakreklamasi at twice_bar . After this we have <e2><80><a6>,JRX_SID,voice ofglory blasting rebel anthem bar
2018-01-12,"Dagang lumpia di Renon sudah siap ? Daripada selfie sama cagub yg mendadak BTR , mending selfi sama dagang lumpia . Mereka lebih terhormat , apa yg mereka jual (lumpia ) sesuai dengan apa yg kamu harapkan .

#balitolakreklamasi #onfire",JRX_SID,dagang lumpia renon selfie cagub mendadak btr mending selfi dagang lumpia terhormat jual lumpia sesuai harapkan
2018-01-12,"Dari Ubud siap menghantam Renon dengan cinta dan rasa yang dulu pernah ada 
#balitolakreklamasi #onfire",JRX_SID,ubud menghantam renon cinta
2018-01-10,"Go find new @ Ada wawancara saya (pertanyaannya susah -susah , serasa audisi jadi astronot ) dan , ini yg menyenangkan , ada bonus CD Simulakra ; kompilasi band -band bawah tanah Bali lintas genre . Yes , majalah ini gratis .

Shot by @iguund
# #balitolakreklamasi",JRX_SID,wawancara pertanyaannya susah susah serasa audisi astronot menyenangkan bonus cd simulakra kompilasi band band tanah bali lintas genre majalah gratis shot
2018-01-02,"Malam ini di @Twice_Bali -- gratis ! Yang bawa minuman dari luar saya pribadi yang akan mengamplas pelipis licikmu .

#twicebar #rocknrollbar #kutarockcity #balitolakreklamasi",JRX_SID,malam gratis bawa minuman pribadi mengamplas pelipis licikmu
2013-09-13,!! RT @candrarock Pertama liat @SkaTePunk_ID di #BaliTolakReklamasi #2 . asli keren abis !,JRX_SID,lihat asli keren habis
2013-09-13,Band canggih bervokalis ganteng @TRMofficial at konser mini #BaliTolakReklamasi #2 @reddbox317 . Ladies come closer !,JRX_SID,band canggih bervokalis ganteng konser mini ladies closer
2013-09-13,Veteran melodic -punk @blackened_bali turun gunung utk konser mini #BaliTolakReklamasi #2 di @reddbox317 .,JRX_SID,veteran melodic punk turun gunung konser mini
2013-09-13,The venomous @GEEKSSMILE at konser mini #BaliTolakReklamasi #2 di @reddbox317 . Cakcak yan !,JRX_SID,venomous konser mini yan
2013-09-12,!!! RT @forbali13 selain download gratis kalian juga bisa request lagu #BaliTolakReklamasi di radio2 seluruh endonesa .. coba aja :),JRX_SID,download gratis request lagu radio indonesia coba
2013-09-12,Dan MALAM INI @forbali13 akan buka lapak baju #BaliTolakReklamasi di @reddbox317 Harga 100K .,JRX_SID,malam buka lapak baju harga 100k
2013-09-10,13 September konser #BaliTolakReklamasi #2 di reddbox317 w / geekssmile @skatepunk_id @blackenedbali FREE !,JRX_SID,thirteen september konser reddbox317 geekssmile free
2013-09-06,Dan @steelbonerigid semalam di konser #BaliTolakReklamasi #1 di @Twice_Bali . Pic : @ucok_olok,JRX_SID,semalam konser
2013-09-06,Peluk tumpel utk MC konser #BaliTolakReklamasi tadi > @fajar_kkk dan siapa kaden lagi satu jeg lupa saya namanya nok :),JRX_SID,peluk tumpel mc konser kaden jeg lupa namanya nok
